Name,Date,Time,Venue,Address,Tickets Buying Urls,Filter
A Beautiful Noise - The Neil Diamond Musical,"1 Feb,2 Feb","2:00 pm GMT-5,1:00 am GMT-5",Broadhurst Theatre,"235 W 44th St, New York, NY, United States",https://www.vividseats.com/a-beautiful-noise-tickets-new-york-broadhurst-theatre-2-1-2023--theater-musical/production/3987898?utm_medium=organic&utm_source=google_eventsearch | https://www.ticketsmarter.com/e/a-beautiful-noise-the-neil-diamond-musical-tickets-new-york-2-1-2023-broadhurst-theatre/5191895 | https://www.closeseats.com/new-york/broadway/a-beautiful-noise-the-neil-diamond-musical-tickets/5191896 | https://www.ticketsource.com/2093978/A-Beautiful-Noise | https://www.meetandgreetticket.com/Events/5191895/A-Beautiful-Noise-The-Neil-Diamond-Musical-Tickets,tomorrow
New York Philharmonic,"2 Feb,4 Feb","7:30 pm GMT-5,8:00 pm GMT-5",David Geffen Hall,"10 Lincoln Center Plaza, New York, NY, United States",https://www.eventticketscenter.com/new-york-philharmonic-herbert-blomstedt-symphonie-fantastique-new-york-02-02-2023/5136823/t | https://www.stagefronttickets.com/events/3941517/new-york-philharmonic-symphonie-fantastique-tickets-david-geffen-hall | https://bachtrack.com/concert-event/blomstedt-conducts-isymphonie-fantastiquei-new-york-philharmonic-lincoln-center-wu-tsai-theater-david-geffen-hall-2-february-2023/363306 | https://pix11.com/calendar/#!/details/New-York-Philharmonic/10557390/2023-02-02T19 | https://www.songkick.com/concerts/40737680-new-york-philharmonic-at-david-geffen-hall-lincoln-center,tomorrow
Texworld USA,"31 Jan,2 Feb","2:00 am GMT-5,2:00 pm GMT-5",Javits Center,"429 11th Ave, New York, NY, United States",https://kohantextilejournal.com/events/texworld-new-york-city-2023/ | https://hk.messefrankfurt.com/hongkong/en/events/textiles-textile-technologies-outgoing/texworld_usa_spring.html | https://fashionunited.com.br/eventos/Texworld-NYC-USA | https://www.fibre2fashion.com/trade-fairs/apparel-sourcing-usa-2023-60248 | https://textalks.com/events/texworld-new-york-city/,tomorrow
Intro To Stand Up Comedy Class in Brooklyn,"15 Jan,12 Feb","3:00 pm GMT-5,6:00 pm GMT-5",The Tiny Cupboard,"10 Cooper St, Brooklyn, NY, United States",https://www.eventbrite.com/e/intro-to-stand-up-comedy-class-in-brooklyn-tickets-503876547317,tomorrow
Jackie Hoffman: It’s Over. Who Has Weed?,"23 Jan,17 Feb","9:30 pm GMT-5,12:00 am GMT-5",Joe's Pub,"425 Lafayette St, New York, NY, United States",https://www.timeout.com/newyork/music/jackie-hoffman-its-over-who-has-weed | https://publictheater.org/productions/joes-pub/2023/j/jackie-hoffman/ | https://donyc.com/events/2023/1/23/jackie-hoffman-it-s-over-who-has-weed-tickets | http://events.wfuv.org/events/2023/1/23/jackie-hoffman-it-s-over-who-has-weed-tickets,tomorrow
GYAL,"20 Jan,18 Mar","10:00 pm GMT-5,4:00 am GMT-5",The Dean NYC,"214 W 39th St Unit #5, New York, NY, United States",https://www.eventbrite.com/e/gyal-tickets-483394785817 | https://www.unation.com/event/gyal-13881352 | http://gomag.com/event/gyal/ | https://allevents.in/new%20york/gyal/10000483394785817?ref=eventlist-cat,tomorrow
Sex-Ed,"1 Feb,3 Feb","7:00 pm GMT-5,9:30 pm GMT-5",House of Yes,"2 Wyckoff Ave, Brooklyn, NY, United States",https://www.eventbrite.com/e/sex-ed-tickets-480710276377 | https://allevents.in/brooklyn/sex-ed/10000480710647487 | https://donyc.com/events/2023/2/1/sex-ed-tickets,tomorrow
NYC Broadway Week,"17 Jan,12 Feb",,,"New York, NY, USA",https://www.nycinsiderguide.com/broadway-week-new-york-city,tomorrow
Winter 2023 City Skate Concert,2 Feb,"6:30 pm GMT-5,8:00 pm GMT-5",,"New York, NY, USA",https://www.clubfreetime.com//new-york-city-nyc/free-performance/2023-02-02/event/572569,tomorrow
Guy Torry,5 Feb,,Yonkers Comedy Club,"257 Market Street, Ridge Hill Mall, Yonkers, NY, United States",https://www.theatermania.com/shows/new-york-theater/guy-torry_413201,tomorrow
The Wanderers,1 Feb,2:00 pm GMT-5,Laura Pels Theatre at the Harold and Miriam Steinberg Center for Theatre,"111 W 46th St, New York, NY, United States",https://www.vividseats.com/the-wanderers-tickets-new-york-laura-pels-theatre-2-1-2023--theater-arts-and-theater/production/4191955?utm_medium=organic&utm_source=google_eventsearch | https://www.ticketsmarter.com/e/the-wanderers-tickets-new-york-2-1-2023-laura-pels-theatre-steinberg-center/5434707 | https://seatgeek.com/the-wanderers-new-york-tickets/laura-pels-theatre-steinberg-center-2023-02-01-2-pm/broadway/5874883 | https://www.stubhub.com/the-wanderers-new-york-tickets-2-1-2023/event/151198817/,today
Lucy,"27 Jan,25 Feb",,Minetta Lane Theatre,"18 Minetta Ln, New York, NY, United States",https://cloud.broadwayworld.com/rec/ticketclick.cfm?fromlink=0&clickedshow=334324&regid=&articlelink=https://broadwayworldny.tixculture.com/nyc/shows/26491 | https://www.theatermania.com/shows/new-york-city-theater/off-broadway/lucy_413747 | https://www.todaytix.com/nyc/shows/26491-lucy | https://pix11.com/calendar/?_escaped_fragment_=/show/?start=2021-03-03#!/details/Lucy/11299052/2023-01-27T19 | https://www.nyc.com/events/lucy.1639637/,today
Joseph and Marsha,"26 Jan,12 Feb",,Theater For the New City,"155 1st Ave., New York, NY, United States",https://www.theatermania.com/shows/new-york-city-theater/joseph-and-marsha_413875,today
WHOSNEXT?NYC DON JULIO + HANDSOME SHOOTER & FRIENDS CONCERT 1.19.23,"19 Jan,10 Feb","9:00 pm GMT-5,2:00 am GMT-5",Brooklyn Music Kitchen,"177 Vanderbilt Ave, Brooklyn, NY, United States",https://allevents.in/brooklyn/whosnextnyc-don-julio-handsome-shooter-and-friends-concert-11923/10000501134846817 | https://www.eventbrite.com/e/whosnextnyc-don-julio-handsome-shooter-friends-concert-11923-tickets-501134846817,today
F*ck7thGrade,"28 Jan,23 Feb","7:00 pm GMT-5,7:00 pm GMT-5",wild project,"195 E 3rd St, New York, NY, United States",https://ci.ovationtix.com/621/production/1133446 | https://antigonerising.com/event/4861372/622058907/f-ck7thgrade,today
Harry Potter and The Cursed Child,1 Feb,"1:00 pm GMT-5,6:00 pm GMT-5",Lyric Theatre,"214 W 43rd St, New York, NY, United States",https://www.vividseats.com/harry-potter-and-the-cursed-child-tickets-new-york-lyric-theatre-new-york-2-1-2023--theater-arts-and-theater/production/4070813?utm_medium=organic&utm_source=google_eventsearch | https://www.eventticketscenter.com/harry-potter-and-the-cursed-child-new-york-02-01-2023/5279717/t | https://www.bigtowntickets.com/Events/Broadway-Tickets/Harry-Potter-and-The-Cursed-Child-2023-02-01-13-00-00 | https://www.ticketsmarter.com/e/harry-potter-and-the-cursed-child-tickets-new-york-2-1-2023-lyric-theatre-new-york/5279716 | https://seatgeek.com/harry-potter-and-the-cursed-child-new-york-tickets/theater/2023-02-01-1-pm/5782119,today
Ain't No Mo',1 Feb,"2:00 pm GMT-5,7:00 pm GMT-5",Belasco Theatre,"111 W 44th St, New York, NY, United States",https://www.ticketsmarter.com/e/aint-no-mo-tickets-new-york-2-1-2023-belasco-theatre-ny/5264887 | https://www.ticketsource.com/2129139/Aint-No-Mo | https://www.ticketwarehouse.com/events/musicals-tickets/2129139/aint-no-mo-2023-02-01-14-00-00 | https://seatgeek.com/aint-no-mo-new-york-tickets/belasco-theatre-ny-2023-02-01-2-pm/broadway/5774743 | https://pix11.com/calendar/?_escaped_fragment_=/show/?start=2022-10-17#!/details/Ain-t-No-Mo-/10727522/2023-02-01T14,today
Moulin Rouge - The Musical,1 Feb,"2:00 pm GMT-5,7:00 pm GMT-5",Al Hirschfeld Theatre,"302 W 45th St, New York, NY, United States",https://www.vividseats.com/moulin-rouge-tickets-new-york-al-hirschfeld-theatre-2-1-2023--theater-musical/production/3987062?utm_medium=organic&utm_source=google_eventsearch | https://www.ticketsmarter.com/e/moulin-rouge-the-musical-tickets-new-york-2-1-2023-al-hirschfeld-theatre/5188188 | https://www.closeseats.com/new-york/broadway/moulin-rouge-the-musical-tickets/5188188 | https://www.stubhub.com/parking-passes-only-moulin-rouge-the-musical-new-york-new-york-tickets-2-1-2023/event/150348684/ | https://local.aarp.org/event/moulin-rouge-2023-02-01-tm-new-york-ny.html,today
Some Like It Hot,1 Feb,"2:00 pm GMT-5,7:00 pm GMT-5",Shubert Theatre,"225 W 44th St, New York, NY, United States",https://www.vividseats.com/some-like-it-hot-tickets-new-york-shubert-theatre-ny-2-1-2023--theater-arts-and-theater/production/3939792?utm_medium=organic&utm_source=google_eventsearch | https://www.eventticketscenter.com/some-like-it-hot-new-york-02-01-2023/5136717/t | https://www.captainticket.com/NY/New-York-Events/Cheap-Some-Like-It-Hot-Tickets-Shubert-Theatre-NY-2023-02-01-14-00-00-2092271 | https://www.ticketsmarter.com/e/some-like-it-hot-tickets-new-york-2-1-2023-shubert-theatre-ny/5136717 | https://www.ticketmaster.com/some-like-it-hot-new-york-02-01-2023/event/Z7r9jZ1AdoVG-,today
The Machine Stops,"27 Jan,5 Feb","7:30 pm GMT-5,2:30 pm GMT-5",The Mark O'Donnell Theater at the Entertainment Community Fund Arts Center,"160 Schermerhorn St, Brooklyn, NY, United States",https://www.broadwayworld.com/regionalbuytickets.cfm?id=3538262&advertiser=2&website=https://www.eventbrite.com/e/the-machine-stops-tickets-490995499757 | https://www.eventbrite.com/e/the-machine-stops-tickets-490995499757 | https://www.kevinrayworks.com/the_machine_stops/ | https://www.brooklynartscouncil.org/events/kevin-ray | https://www.theatermania.com/shows/new-york-city-theater/off-off-broadway/the-machine-stops_414665,today
Lucy,"27 Jan,25 Feb",,Minetta Lane Theatre,"18 Minetta Ln, New York, NY, United States",https://cloud.broadwayworld.com/rec/ticketclick.cfm?fromlink=0&clickedshow=334324&regid=&articlelink=https://broadwayworldny.tixculture.com/nyc/shows/26491 | https://www.theatermania.com/shows/new-york-city-theater/off-broadway/lucy_413747 | https://www.todaytix.com/nyc/shows/26491-lucy | https://pix11.com/calendar/?_escaped_fragment_=/show/?start=2021-03-03#!/details/Lucy/11299052/2023-01-27T19 | https://www.nyc.com/events/lucy.1639637/,tomorrow
Big Apple Circus,2 Feb,"4:00 pm GMT-5,7:00 pm GMT-5",,"New York, NY, USA",https://allevents.in/york/big-apple-circus/200020331988438,tomorrow
Free Comedy Show at New York Comedy Club - 24th street,2 Feb,"6:00 pm GMT-5,7:30 pm GMT-5",New York Comedy Club,"241 E 24th St, New York, NY, United States",https://www.eventbrite.com/e/free-comedy-show-at-new-york-comedy-club-24th-street-tickets-277856304687?aff=ebdiayyoutube | https://allevents.in/mobile/amp-event.php?event_id=10000277856304687,tomorrow
Joseph and Marsha,"26 Jan,12 Feb",,Theater For the New City,"155 1st Ave., New York, NY, United States",https://www.theatermania.com/shows/new-york-city-theater/joseph-and-marsha_413875,tomorrow
Nick Leng,2 Feb,"6:00 pm GMT-5,10:00 pm GMT-5",The Mercury Lounge,"217 E Houston St, New York, NY, United States",https://www.expedia.com/event-tickets/event/nick-leng-tickets-mercury-lounge-ny-new-york-ny-2-2-2023-5463080 | https://www.eventticketscenter.com/nick-leng-new-york-02-02-2023/5463080/t | https://prf.hn/click/camref:1011l9QnS/destination:https://www.stubhub.com/nick-leng-new-york-tickets-2-2-2023/event/151300435/ | https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fnick-leng-new-york-new-york-02-02-2023%2Fevent%2F00005D7DE4AE61B1 | https://click.linksynergy.com/deeplink?id=4PGeUcTDwJs&mid=47126&murl=https%3A%2F%2Fseatgeek.com%2Fnick-leng-tickets%2Fnew-york-new-york-mercury-lounge-2023-02-02-6-pm%2Fconcert%2F5886073%3Faid%3D13185,tomorrow
Comedy Mob Open Mic,2 Feb,6:00 pm GMT-5,New York Comedy Club,"241 E 24th St, New York, NY, United States",https://newyorkcomedyclub.com/events/comedy-mob-open-mic-2023-02-02180000,tomorrow
Karaoke Thursdays,2 Feb,"8:00 am GMT-5,5:00 pm GMT-5",Bellyful,"2102 Utica Ave, Brooklyn, NY, United States",https://bellyfulnyc.com/event/karaoke-thursdays/2023-02-02/,tomorrow
Sofar Sounds at Midtown,2 Feb,"2:30 pm GMT-5,4:30 pm GMT-5",Arlo Midtown,"351 W 38th St, New York, NY, United States",https://www.sofarsounds.com/events/44173 | https://arlohotels.com/happening/sofar-sounds-at-midtown/2023-02-02/,tomorrow
F*ck7thGrade,"28 Jan,23 Feb","7:00 pm GMT-5,7:00 pm GMT-5",wild project,"195 E 3rd St, New York, NY, United States",https://ci.ovationtix.com/621/production/1133446 | https://antigonerising.com/event/4861372/622058907/f-ck7thgrade,tomorrow
Cullberg,"1 Feb,5 Feb","7:30 pm GMT-5,2:00 pm GMT-5",The Joyce Theater,"175 8th Ave, New York, NY, United States",https://shop.joyce.org/6719 | https://www.ticketmaster.com/cullberg-ballet-new-york-02-01-2023/event/Z7r9jZ1Adp8FM | https://bachtrack.com/dance-event/cullberg-cullberg-joyce-theater-1-february-2023/374952 | https://pix11.com/calendar/?_escaped_fragment_=/show/?start=2022-03-05#!/details/Cullberg-Ballet/10835418/2023-02-01T19 | https://www.ticketexchangebyticketmaster.com/cullberg-ballet-tickets/event/74340,tomorrow
Take Me Out,1 Feb,"2:00 pm GMT-5,7:00 pm GMT-5",Gerald Schoenfeld Theatre,"236 W 45th St, New York, NY, United States",https://www.vividseats.com/take-me-out-tickets-new-york-gerald-schoenfeld-theatre-2-1-2023--theater-family/production/4191326?utm_medium=organic&utm_source=google_eventsearch | https://www.eventticketscenter.com/take-me-out-new-york-02-01-2023/5425291/t | https://www.bigtowntickets.com/Events/Broadway-Tickets/Take-Me-Out-2023-02-01-14-00-00 | https://www.ticketsmarter.com/e/take-me-out-tickets-new-york-2-1-2023-gerald-schoenfeld-theatre/5425291 | https://www.ticketmaster.com/take-me-out-new-york-02-01-2023/event/Z7r9jZ1AdQvfU,today
Funny Girl,1 Feb,"2:00 pm GMT-5,7:00 pm GMT-5",August Wilson Theatre,"245 W 52nd St, New York, NY, United States",https://www.vividseats.com/funny-girl-tickets-new-york-august-wilson-theatre-ny-2-1-2023--theater-comedy/production/4008955?utm_medium=organic&utm_source=google_eventsearch | https://www.eventticketscenter.com/funny-girl-new-york-02-01-2023/5210249/t | https://www.captainticket.com/NY/New-York-Events/Cheap-Funny-Girl-Tickets-August-Wilson-Theater-2023-02-01-14-00-00-2107276 | https://www.ticketsmarter.com/e/funny-girl-tickets-new-york-2-1-2023-virginia-august-wilson-theatre-ny/5210248 | https://www.ticketsource.com/2107276/Funny-Girl,today
Pictures From Home,1 Feb,2:00 pm GMT-5,Studio 54,"254 W 54th St, New York, NY, United States",https://www.vividseats.com/pictures-from-home-tickets-new-york-studio-54-2-1-2023--theater-broadway/production/4200088?utm_medium=organic&utm_source=google_eventsearch | https://www.eventticketscenter.com/pictures-from-home-new-york-02-01-2023/5434275/t | https://www.ticketsmarter.com/e/pictures-from-home-tickets-new-york-2-1-2023-studio-54-ny/5434275 | https://seatgeek.com/pictures-from-home-new-york-tickets/studio-54-2023-02-01-2-pm/broadway/5871626 | https://allstartickets.com/pictures-from-home/new-york/2212641,today
Sparklejollytwinklejingley,1 Feb,12:59 am GMT-5,The Green Room 42,"570 10th Ave, New York, NY, United States",https://donyc.com/events/2023/2/1/sparklejollytwinklejingley-tickets,today
Cullberg,"1 Feb,5 Feb","7:30 pm GMT-5,2:00 pm GMT-5",The Joyce Theater,"175 8th Ave, New York, NY, United States",https://shop.joyce.org/6719 | https://www.ticketmaster.com/cullberg-ballet-new-york-02-01-2023/event/Z7r9jZ1Adp8FM | https://bachtrack.com/dance-event/cullberg-cullberg-joyce-theater-1-february-2023/374952 | https://pix11.com/calendar/?_escaped_fragment_=/show/?start=2022-03-05#!/details/Cullberg-Ballet/10835418/2023-02-01T19 | https://www.ticketexchangebyticketmaster.com/cullberg-ballet-tickets/event/74340,today
Open Mic Event,"6 Jan,5 Feb","8:30 pm GMT-5,2:46 pm GMT-5",Nag's Head Ale House,"396 New York Ave, Huntington, NY, United States",https://www.openmicnewyork.com/MoreInfo/MTUyMiMjIyNURVhU,today
Tonight at Boiler Room,"31 Jan,1 Feb","6:00 pm GMT-5,4:00 am GMT-5",The Boiler Room,"86 E 4th St, New York, NY, United States",https://tockify.com/thotyssey/detail/17230/1675206000000,today
MJ New York Tickets,1 Feb,"2:00 pm GMT-5,11:00 pm GMT-5",Neil Simon Theatre,"250 W 52nd St, New York, NY, United States",https://www.vividseats.com/mj---the-musical-tickets-new-york-neil-simon-theatre-2-1-2023--theater-broadway/production/4028637?utm_medium=organic&utm_source=google_eventsearch | https://www.captainticket.com/NY/New-York-Events/Cheap-MJ-The-Musical-Tickets-Neil-Simon-Theatre-2023-02-01-14-00-00-2116311 | https://www.ticketsmarter.com/e/mj-the-life-story-of-michael-jackson-tickets-new-york-2-1-2023-neil-simon-theatre/5229830 | https://www.closeseats.com/new-york/broadway/mj-the-life-story-of-michael-jackson-tickets/5229830 | https://www.ticketsource.com/2116311/MJ-The-Life-Story-of-Michael-Jackson,today
Phantom Of The Opera,"1 Feb,2 Feb","2:00 pm GMT-5,1:00 am GMT-5",Majestic Theatre,"245 W 44th St, New York, NY, United States",https://www.vividseats.com/phantom-of-the-opera-tickets-new-york-majestic-theatre-ny-2-1-2023--theater-musical/production/4189708?utm_medium=organic&utm_source=google_eventsearch | https://www.eventticketscenter.com/the-phantom-of-the-opera-new-york-02-01-2023/5416897/t | https://www.ticketsmarter.com/e/the-phantom-of-the-opera-tickets-new-york-2-1-2023-majestic-theatre-ny/5416897 | https://www.closeseats.com/new-york/broadway/the-phantom-of-the-opera-tickets/5416898 | https://seatgeek.com/the-phantom-of-the-opera-new-york-tickets/majestic-theatre-ny-1-2023-02-01-2-pm/broadway/5872450,today
Aperitivo Tuesdays,"31 Jan,1 Feb","5:00 pm GMT-5,2:00 am GMT-5",PHD Terrace at Dream Midtown,"210 W 55th St, New York, NY, United States",https://www.tablelist.com/e/aperitivo-tuesdays-at-ph-d-terrace-at-dream-midtown-7b094c50f6cd46dd,today
The Machine Stops,"27 Jan,5 Feb","7:30 pm GMT-5,2:30 pm GMT-5",The Mark O'Donnell Theater at the Entertainment Community Fund Arts Center,"160 Schermerhorn St, Brooklyn, NY, United States",https://www.broadwayworld.com/regionalbuytickets.cfm?id=3538262&advertiser=2&website=https://www.eventbrite.com/e/the-machine-stops-tickets-490995499757 | https://www.eventbrite.com/e/the-machine-stops-tickets-490995499757 | https://www.kevinrayworks.com/the_machine_stops/ | https://www.brooklynartscouncil.org/events/kevin-ray | https://www.theatermania.com/shows/new-york-city-theater/off-off-broadway/the-machine-stops_414665,tomorrow
Open Mic Event,"6 Jan,5 Feb","8:30 pm GMT-5,2:46 pm GMT-5",Nag's Head Ale House,"396 New York Ave, Huntington, NY, United States",https://www.openmicnewyork.com/MoreInfo/MTUyMiMjIyNURVhU,tomorrow
NOT ABOUT ME,"13 Jan,5 Feb",,Theater For the New City,"155 1st Ave., New York, NY, United States",https://theaterforthenewcity.net/shows/not-about-me/,tomorrow
Phantom Of The Opera,"1 Feb,2 Feb","2:00 pm GMT-5,1:00 am GMT-5",Majestic Theatre,"245 W 44th St, New York, NY, United States",https://www.vividseats.com/phantom-of-the-opera-tickets-new-york-majestic-theatre-ny-2-1-2023--theater-musical/production/4189708?utm_medium=organic&utm_source=google_eventsearch | https://www.eventticketscenter.com/the-phantom-of-the-opera-new-york-02-01-2023/5416897/t | https://www.ticketsmarter.com/e/the-phantom-of-the-opera-tickets-new-york-2-1-2023-majestic-theatre-ny/5416897 | https://www.closeseats.com/new-york/broadway/the-phantom-of-the-opera-tickets/5416898 | https://seatgeek.com/the-phantom-of-the-opera-new-york-tickets/majestic-theatre-ny-1-2023-02-01-2-pm/broadway/5872450,tomorrow
Time Wharp @ Elsewhere,2 Feb,"6:00 pm GMT-5,10:00 pm GMT-5",Elsewhere,"599 Johnson Ave, Brooklyn, NY, United States",https://dice.fm/event/a7ol7-time-wharp-haldeman-iceblink-2nd-feb-elsewhere-zone-one-new-york-tickets | https://www.bandsintown.com/e/1027032138-time-wharp-at-elsewhere?came_from=209 | https://www.ohmyrockness.com/shows/400896-time-wharp-elsewhere | https://www.jambase.com/band/haldeman,tomorrow
Review: The Collaboration on Broadway,"7 Jan,5 Feb","12:00 am GMT-5,12:00 am GMT-5",Samuel J Friedman Theatre,"261 W 47th St, New York, NY, United States",https://www.timeout.com/newyork/theater/collaboration-broadway-review-warhol-basquiat-paul-bettany-jeremy-pope | https://pix11.com/calendar/#!/details/THE-COLLABORATION-ON-BROADWAY/10972107/2023-01-07T14 | https://bronx.news12.com/bronx-events#!/details/THE-COLLABORATION-ON-BROADWAY/10972107/2023-01-07T14 | https://new-york.events/dates/the-collaboration-jan-07-2023-2-00-pm/ | https://heartbeatmap.com/event/260017,tomorrow
A Gentle Comedy: Donizetti’s L’Elisir d’Amore,"18 Jan,12 Apr","6:30 pm GMT-5,8:00 pm GMT-5",House of the Redeemer,"7 E 95th St, New York, NY, United States",https://www.eventbrite.com/e/a-gentle-comedy-donizettis-lelisir-damore-tickets-410734687507 | https://allevents.in/new%20york/a-gentle-comedy-donizettis-lelisir-damore/10000410734687507 | https://www.houseoftheredeemer.org/calendar/list/?tribe_paged=1,tomorrow
Vicki Burns in the Theater,2 Feb,"3:30 pm GMT-5,5:00 pm GMT-5",Birdland Jazz Club,"315 W 44th St #5402, New York, NY, United States",https://www.eventbrite.com/e/vicki-burns-in-the-theater-tickets-488779471557 | https://birdlandjazz.com/event/vicki-burns-in-the-theater/?fbclid=IwAR1Jwj9SHrDycwY2sXb_ONnc_o01h1GTh36na26OC2av3SiuwT21WFPfpRE | https://allevents.in/new%20york/vicki-burns-in-the-theater/10000488779471557 | https://donyc.com/events/2023/2/2/vicki-burns-in-the-theater-tickets | https://vickiburnsjazz.com/event/4647653/596673162/vicki-burns-quartet-at-birdland,tomorrow
Blood Countess Off-Broadway at the Players Theatre,"6 Jan,5 Feb","7:00 pm GMT-5,2:00 pm GMT-5",The Players Theatre,"115 MacDougal St, New York, NY, United States",https://feverup.com/m/123859,tomorrow
Kimberly Akimbo,"1 Feb,2 Feb","2:00 pm GMT-5,12:00 am GMT-5",Booth Theatre,"222 W 45th St, New York, NY, United States",https://www.vividseats.com/kimberly-akimbo-tickets-new-york-booth-theatre-2-1-2023--theater-musical/production/3987426?utm_medium=organic&utm_source=google_eventsearch | https://www.ticketsmarter.com/e/kimberly-akimbo-tickets-new-york-2-1-2023-booth-theatre/5189416 | https://www.closeseats.com/new-york/broadway/kimberly-akimbo-tickets/5189384 | https://www.meetandgreetticket.com/Events/5189416/Kimberly-Akimbo-Tickets | https://www.ticketmaster.com/kimberly-akimbo-new-york-02-01-2023/event/Z7r9jZ1Adfo0-,tomorrow
NOT ABOUT ME,"13 Jan,5 Feb",,Theater For the New City,"155 1st Ave., New York, NY, United States",https://theaterforthenewcity.net/shows/not-about-me/,today
