Name,Date,Time,Venue,Address,Tickets Buying Urls,Filter
Eric Benét  at Yoshi's,,"8:00 PM GMT-5,8:15 PM GMT-5",Yoshi's,"510 Embarcadero West, Oakland, CA",https://festivaly.eu/en/eric-benet-yoshis-oakland-2023-5 | https://ticketliquidator.auhm.net/c/266168/181694/2085?prodsku=5451174&u=https%3A%2F%2Fwww.ticketliquidator.com%2Ftickets%2F5451174%2FEric-Benet-tickets-Tue-Feb-14-2023-Yoshi%27s---Oakland&intsrc=CATF_1315 | https://www.shareasale.com/m-pr.cfm?merchantID=76847&userID=479796&productID=1281905863 | https://www.ticketcity.com/san-francisco-tickets/yoshis-jazz-club-oakland-tickets/eric-benet-feb-14-2023-4214913.html?aid=2658 | https://www.visitoakland.com/event/eric-ben%C3%A9t-at-yoshis/29559/,tomorrow
CUFFIN OAKLAND: All Thangs R&B Party Grand Reopening!,,,Amber Lounge,"1517 Franklin St, Oakland, CA",https://www.eventbrite.com/e/cuffin-oakland-all-thangs-rb-party-grand-reopening-tickets-516955587077 | https://allevents.in/mobile/amp-event.php?event_id=10000533206263287,tomorrow
I LOVE FIESTA! Party at Woodbury San Francisco,,"9:30 PM GMT-5,2:00 AM GMT-5",Woodbury,"685 3rd St, San Francisco, CA",https://www.eventbrite.com/e/dj-guardado-remix-events-present-i-love-fiesta-party-at-woodbury-san-f-tickets-534872286407 | https://allevents.in/san%20francisco/i-love-fiesta-party-at-woodbury-san-francisco/10000531180454037 | https://dothebay.com/events/2023/2/18/i-love-fiesta-party-at-woodbury-san-francisco-tickets,tomorrow
Audien,,,Yolo Nightclub,"333 11th St, San Francisco, CA",https://www.songkick.com/concerts/40849490-audien-at-yolo-nightclub?utm_medium=organic&utm_source=microformat | https://app.discotech.me/events/37331426-audien-at-yolo-nightclub,tomorrow
Noise Pop Festival Takeover at Zeitgeist,,,Zeitgeist,"199 Valencia St, San Francisco, CA",https://dothebay.com/events/2023/2/18/noise-pop-festival-takeover-at-zeitgeist-free | https://www.sfstation.com/zeitgeist-b1268,tomorrow
HellaSecret 2023 Speakeasy Comedy Night,,"9:00  GMT-5,10:30 PM GMT-5",Mayes Oyster House,"1233 Polk St, San Francisco, CA",https://www.eventbrite.com/e/hellasecret-comedy-new-year-cocktail-night-2023-sf-tickets-156991169815 | https://allevents.in/san%20francisco/hellasecret-north-beach-comedy-and-cocktail-night-2023/10000488078284287 | https://www.sfstation.com/fame-venue-b38990190,tomorrow
SF's Winterfest Beer & Comedy Festival 2023 at Speakeasy Brewery,,,Speakeasy Ales & Lagers,"1195 Evans Ave, San Francisco, CA",https://www.todaytix.com/sf-bay-area/shows/27629-sfs-winterfest-beer-and-comedy-festival-2023-at-speakeasy-brewery,tomorrow
Mean Girls,,,Golden Gate Theatre,"1 Taylor St, San Francisco, CA",https://www.san-francisco-theater.com/index_2018_tony_nominee.php,tomorrow
Getting There,,,New Conservatory Theatre Center,"25 Van Ness Avenue, Lower Lobby, San Francisco, CA",https://eventseeker.com/san-francisco/feb-9-2023/438078107-getting-there,today
Willy Wonka,,,Children's Theatre Association of San Francisco,"Presidio Theatre, 99 Moraga Ave, San Francisco, CA",https://www.presidiotheatre.org/show/willy-wonka/,today
friday night residents afterhours,,"11:59 PM GMT-5,6:00 AM GMT-5",The EndUp,"401 6th St, San Francisco, CA",https://allevents.in/san%20francisco/friday-night-residents-afterhours/10000533206223167 | https://dothebay.com/events/2023/2/17/friday-night-residents-afterhours-tickets | https://app.discotech.me/events/37350057-friday-night-residents-afterhours-at-the-end-up | https://www.eventbrite.com/e/friday-night-residents-afterhours-tickets-533206223167,today
Getting There,,,New Conservatory Theatre Center,"25 Van Ness Avenue, Lower Lobby, San Francisco, CA",https://eventseeker.com/san-francisco/feb-13-2023/438078107-getting-there,today
The Travelers,,,Magic Theatre,"Landmark Building D, Fort Mason Center, 2 Marina Blvd, San Francisco, CA",https://magictheatre.secure.force.com/ticket/#/events/a0S6e00000jLoGQEA0 | https://www.theatermania.com/shows/san-francisco-theater/the-travelers_420892 | https://datebook.sfchronicle.com/event/theater/magic-theatres-the-travelers/ | https://dothebay.com/events/2023/2/15/magic-theatre-season-2023-the-travelers-by-luis-alfaro-tickets | https://www.sfstation.com/magic-theatre-b843,today
Comedy Show Spectacular with Mark Noyer at Red Tomato Pizza House,,,"2017 University Ave, Berkeley, CA",,https://allevents.in/mobile/amp-event.php?event_id=10000532925914757,today
Getting There,,,New Conservatory Theatre Center,"25 Van Ness Avenue, Lower Lobby, San Francisco, CA",https://eventseeker.com/san-francisco/feb-4-2023/438078107-getting-there,today
Black History Month at MoAD,,"7:00 PM GMT-5,8:30 PM GMT-5",Museum of the African Diaspora,"685 Mission St, San Francisco, CA",https://dothebay.com/events/2023/2/1/black-history-month-at-moad-tickets,today
Voices of Music Presents: Musica Transalpina: Chamber music from Italy and England,,,St. Mark's Lutheran Church,"1111 O'Farrell St, San Francisco, CA",https://mms.americanrecorder.org/Calendar/moreinfo.php?eventid=77210,today
Getting There,,,New Conservatory Theatre Center,"25 Van Ness Avenue, Lower Lobby, San Francisco, CA",https://eventseeker.com/san-francisco/feb-5-2023/438078107-getting-there,today
Best of San Francisco Stand-Up Comedy,,"12:00  GMT-5,1:30 PM GMT-5",Lesher Center for the Arts,"1601 Civic Dr, Walnut Creek, CA",https://www.walnut-creek.org/Home/Components/Calendar/Event/15382/ | https://www.lesherartscenter.org/Home/Components/Calendar/Event/15382/3094 | https://www.kkiq.com/event/walnut-creek-best-of-san-francisco-stand-up-comedy/ | https://bestthingsca.com/event/best-of-san-francisco-standup-comedy-2023-02-18-walnut-creek-ca.html | https://allevents.in/mobile/amp-event.php?event_id=300036288391,tomorrow
San Francisco Music Hall of Fame Gallery,,,"1353 Bush St, San Francisco, CA",,https://allevents.in/san%20francisco/san-francisco-music-hall-of-fame-gallery/10000511126241347 | https://www.eventbrite.com/e/san-francisco-music-hall-of-fame-gallery-tickets-511126241347,tomorrow
Student Film Workshop,,"9:30 PM GMT-5,2:00 AM GMT-5",715 Harrison,"715 Harrison St, San Francisco, CA",https://www.eventbrite.com/e/student-night-tickets-532570361287 | https://allevents.in/san%20francisco/student-night/10000532570361287,tomorrow
HEAT Presidents Day Weekend,,,The Great Northern,"119 Utah St, San Francisco, CA",https://www.eventbrite.com/e/heat-presidents-day-weekend-tickets-465190024887 | https://allevents.in/san%20francisco/heat-presidents-day-weekend/200023727387917 | https://dothebay.com/events/2023/2/18/heat-presidents-day-weekend-tickets | https://www.gaypinkspots.com/event/heat--presidents-day-saturday.html | https://app.discotech.me/events/37297137-heat-presidents-day-weekend-at-great-northern,tomorrow
BINOMIO DE ORO EN SAN FRANCISCO,,,MAYA NIGHTCLUB,"1776 Broadway, Redwood City, CA",https://www3.ticketon.com/event/BINOMIO-DE-ORO-EN-SAN-FRANCISCO/525861 | https://allevents.in/redwood%20city/02-18-2023-binomio-de-oro-de-america-en-san-francisco/200023933966125 | https://www.kron4.com/community/calendar/?_escaped_fragment_=/show/?start=2022-04-09#!/details/BINOMIO-DE-ORO-EN-SAN-FRANCISCO/11370544/2023-02-18T21 | https://www.songkick.com/concerts/40826556-binomio-de-oro-de-america-at-maya-nightclub | https://www.tickeri.com/events/63b4983040bd130004feeb4c/binomio-de-oro-en-san-francisco,tomorrow
SubDocta,,"9:00 PM GMT-5,2:30 AM GMT-5",DNA Lounge,"375 11th St, San Francisco, CA",https://www.dnalounge.com/calendar/2023/02-18d.html | https://www.kron4.com/community/calendar/#!/details/Subdocta-Presents-Bass-Science-Tour-w-Black-Carl-/11238457/2023-02-18T19 | https://dothebay.com/events/2023/2/18/subdocta-tickets | http://events.noisepop.com/events/2023/2/18/subdocta-tickets | https://app.discotech.me/events/37311772-subdocta-at-dna-lounge,tomorrow
Orquesta San Vicente,,,Roccapulco,"3140 Mission St, San Francisco, CA",https://www.songkick.com/concerts/40827733-orquesta-san-vicente-at-roccapulco?utm_medium=organic&utm_source=microformat,tomorrow
Jazz at Donato Enoteca,,,Donato Enoteca,"1041 Middlefield Rd, Redwood City, CA",https://jazzonthego.com/event/4623907/594506263/jazz-at-donato-enoteca,tomorrow
Dim Sum Beer Brunch with Fort Point,,"1:30  GMT-5,4:30 PM GMT-5",Hong Kong Lounge,"5322 Geary Blvd, San Francisco, CA",https://www.eventbrite.com/e/dim-sum-beer-brunch-with-fort-point-tickets-493023525637 | https://allevents.in/san%20francisco/dim-sum-beer-brunch-with-fort-point/10000493023525637 | https://dothebay.com/events/2023/2/18/dim-sum-beer-brunch-with-fort-point-tickets | https://www.sfstation.com/hong-kong-lounge-b139513,tomorrow
Nils Hoffman,,"9:30 PM GMT-5,2:30 AM GMT-5",Audio Nightclub,"316 11th St, San Francisco, CA",https://www.eventbrite.com/e/nils-hoffmann-tickets-452378334777 | https://dothebay.com/events/2023/2/18/nils-hoffman-at-audio-sf-tickets | https://www.stubhub.com/nils-hoffmann-san-francisco-tickets-2-18-2023/event/151276731/ | https://www.unation.com/event/nils-hoffmann-13580125 | https://app.discotech.me/events/37288242-nils-hoffmann-at-audio,tomorrow
Let's Roam Scavenger Hunt: San Francisco Ghost Rush,,,San Francisco Ghost Hunt Walking Tour,"1801 Bush St, San Francisco, CA",https://feverup.com/m/95710,today
The Headlands,,,Toni Rembe Theater,"San Francisco, CA",https://www.act-sf.org/whats-on/202223-season/the-headlands/ | https://www.theatermania.com/shows/san-francisco-theater/the-headlands_390826 | https://encorespotlight.com/event/american-conservatory-theater-the-headlands-2023/ | https://www.san-francisco-theater.com/theaters/toni-rembe-theatre/the-headlands.php | https://www.rateyourseats.com/mobile/tickets/events/the-headlands-february-9-2023-4249486,today
Getting There,,,New Conservatory Theatre Center,"25 Van Ness Avenue, Lower Lobby, San Francisco, CA",https://eventseeker.com/san-francisco/feb-1-2023/438078107-getting-there,today
San Francisco (Restaurant) — Senor Sisig,,,"990 Valencia St, San Francisco, CA",,https://www.senorsisig.com/find-us/2021/4/6/san-francisco-restaurant-6j3s9-ecsmc-b6zlm-5nf5j-bf646-yytst,today
What's UP Wednesday? 02/08/2023,,,The Valencia Room,"647 Valencia St, San Francisco, CA",https://www.eventbrite.com/e/whats-up-wednesday-02082023-tickets-532653128847 | https://allevents.in/san%20francisco/whats-up-wednesday-02-08-2023/10000532653128847 | https://www.witheta.com/event/24740?aff=front_page,today
Getting There,,,New Conservatory Theatre Center,"25 Van Ness Avenue, Lower Lobby, San Francisco, CA",https://eventseeker.com/san-francisco/feb-7-2023/438078107-getting-there,today
The Escape Game San Francisco: Epic 60-Minute Adventures,,"6:30 PM GMT-5,11:55 PM GMT-5",The Escape Game San Francisco,"150 Kearny St, San Francisco, CA",https://feverup.com/m/95711,today
Amy D w/ Hristo Vitchev,,,SFJAZZ,"201 Franklin St, San Francisco, CA",https://www.sfjazz.org/tickets/productions/sfjazz-hotplate-amy-d-after-hours2 | https://www.kron4.com/community/calendar/?_escaped_fragment_=/show/?ser=Apcera#!/details/Amy-D-Sings-Sarah-Vaughan-s-After-Hours/10562232/2023-02-16T19 | https://dothebay.com/events/2023/2/16/amy-d-tickets | https://allevents.in/org/amy-d/17059969,today
Oasis Saturday  at The Grand Nightclub 2.4.23,,,The Grand,"520 4th St, San Francisco, CA",https://allevents.in/mobile/amp-event.php?event_id=10000525947341657,today
Half Day Wine Country Experience,,"12:30 PM GMT-5,12:30 PM GMT-5",Tower Tours San Francisco,"288 Beach St, San Francisco, CA",https://feverup.com/m/98286,today
PRINCESS w/ WILLOW PILL,,,OASIS,"298 11th St, San Francisco, CA",https://www.eventbrite.com/e/princess-w-willow-pill-tickets-497984393727 | https://allevents.in/san%20francisco/princess-w-willow-pill/10000497984393727,tomorrow
SF's HellaDesi Comedy Night,,"10:30 PM GMT-5,2:00 AM GMT-5",Neck of the Woods,"406 Clement St, San Francisco, CA",https://www.eventbrite.com/e/sfs-helladesi-comedy-night-tickets-55392014005 | https://allevents.in/san%20francisco/sfs-helladesi-comedy-night/10000491098487797,tomorrow
Early James,,,Cafe Du Nord,"2174 Market St, San Francisco, CA",https://www.ticketweb.com/event/early-james-cafe-du-nord-tickets/12655415 | https://festivaly.eu/en/early-james-cafe-du-nord-san-francisco-2023 | https://ticketmaster.evyy.net/c/253520/271177/4272?u=https%3A%2F%2Fwww.ticketweb.com%2Fevent%2Fearly-james-cafe-du-nord-tickets%2F12655415 | https://www.kron4.com/community/calendar/?_escaped_fragment_=/show/?start=2022-05-07#!/details/Early-James/11174237/2023-02-18T21 | https://dothebay.com/events/2023/2/18/early-james-tickets,tomorrow
Sorry For Party Rocking,,"10:00 PM GMT-5,2:30 AM GMT-5",DNA Lounge,"375 11th St, San Francisco, CA",https://www.dnalounge.com/calendar/2023/02-18.html | https://dothebay.com/events/2023/2/18/sorry-for-party-rocking-tickets | https://m.facebook.com/events/551224450402767/ | http://events.noisepop.com/events/2023/2/18/sorry-for-party-rocking-tickets | https://app.discotech.me/events/37341030-sorry-for-party-rocking-at-dna-lounge,tomorrow
Salsa Rueda Festival,,,Salsa Rueda Festival,"1231 Market St, San Francisco, CA",https://www.oaklandhs.com/events/san-francisco/salsa-rueda-festival-6059982 | https://10times.com/rueda-festival,tomorrow
Dear Evan Hansen,,"7:30 PM GMT-5,4:00 PM GMT-5",Orpheum Theatre,"1192 Market St, San Francisco, CA","https://m.facebook.com/events/orpheum-theatre/dear-evan-hansen/2161654477341666/ | https://www.san-francisco-theater.com/index_prestige.php | https://www.mybeehive.com/event/DEAR-EVAN-HANSEN,-Orpheum-Theatre,-San-Francisco,-CA-%E2%80%94-ANTHONY-NORMAN/5707713 | https://www.irl.com/dear-evan-hansen-touring/sEq9kPjBX8",tomorrow
"The Show - Jordan Michael, Jdirra And Dean Samaras",,"11:55 PM GMT-5,6:00 AM GMT-5",The EndUp,"401 6th St, San Francisco, CA",https://www.eventbrite.com/e/the-show-jordan-michael-jdirra-and-dean-samaras-tickets-543228780907 | https://app.discotech.me/events/37355983-the-show-jordan-michael-jdirra-and-dean-samaras-at-the-end-up,tomorrow
Toman,,,Halcyon SF,"314 11th St, San Francisco, CA",https://ra.co/events/1644697 | https://dice.fm/event/rwq25-toman-18th-feb-halcyon-sf-san-francisco-tickets | https://dothebay.com/events/2023/2/18/toman-tickets | https://app.discotech.me/events/37336061-toman-at-halcyon | https://allevents.in/san%20francisco/toman/200023929400457,tomorrow
Champagne Cabaret: The Book of Love,,,Great Star Theater,"636 Jackson St, San Francisco, CA",https://feverup.com/m/124354 | https://www.greatstartheater.org/champagne-cabaret?aff=listing | https://fever.pxf.io/c/266168/1396783/16345?prodsku=124354&u=https%3A%2F%2Ffeverup.com%2Fm%2F124354&intsrc=CATF_10347 | https://eventseeker.com/venue/872350-great-star-theater-san-francisco | https://www.sfstation.com/the-great-star-theater-b264523,tomorrow
Getting There,,,New Conservatory Theatre Center,"25 Van Ness Avenue, Lower Lobby, San Francisco, CA",https://eventseeker.com/san-francisco/feb-3-2023/438078107-getting-there,tomorrow
The Salsa Rueda Festi,,,East Bay Community Space,"507 55th St, Oakland, CA",https://eventseeker.com/tickets/eb-499880665527 | https://allevents.in/oakland/the-2nd-salsa-rueda-festi/10000499880665527 | https://www.danceus.org/event/16761088381968/the-salsa-rueda-festi-oakland-ca/ | https://local.aarp.org/event/the-salsa-rueda-festi-2023-02-17-oakland-ca.html | https://bestthingsca.com/event/the-salsa-rueda-festi-2023-02-17-oakland-ca.html,today
Golden Gate Theater,,,"1 Taylor St, San Francisco, CA",,https://www.theatricalindex.com/theatre/view/id/149/Golden+Gate+Theater,today
Salsa Rueda Festival,,,"San Francisco, CA",,https://www.gowherewhen.com/event/san-francisco-salsa-rueda-festival,today
Perreo Tuesdays!,,,The Valencia Room,"647 Valencia St, San Francisco, CA",https://allevents.in/san%20francisco/perreo-tuesdays/10000525886940997,today
Karaoke Vinnie's Concord,,,Vinnie's Bar & Grill,"2045 Mt Diablo St, Concord, CA",https://www.contracostalive.com/event/6466,today
San Francisco Dinner Dance Cruise,,"7:30 PM GMT-5,7:30 PM GMT-5",Hornblower Cruises & Events,"3 Pier 7, San Francisco, CA",https://feverup.com/m/96476,today
Cambodian Rock Band,,,Berkeley Repertory Theatre,"2025 Addison St, Berkeley, CA",https://www.san-francisco-theater.com/theaters/roda-theatre/cambodian-rock-band.php,today
San Francisco Writers Conference,,,Hyatt Regency San Francisco,"5 Embarcadero Ctr, San Francisco, CA",https://www.sfwriters.org/sfwc-registration/ | https://10times.com/francisco-writers-conference | https://eventseeker.com/venue/18142-hyatt-regency-san-francisco | https://www.amandatraylor.com/upcoming-events/event-one-ygjtt,today
Flying Actor Studio Presents: UP FOR AIR!,,,Stage Werx Theatre,"446 Valencia St, San Francisco, CA",https://www.broadwayworld.com/regionalbuytickets.cfm?id=3710667&advertiser=2&website=https://www.FlyingActorStudio.com | https://dothebay.com/events/2023/2/17/flying-actor-studio-presents-up-for-air-tickets,today
Red Bike,,"4:00 PM GMT-5,3:59 PM GMT-5",Lesher Center for the Arts,"1601 Civic Dr, Walnut Creek, CA",https://www.walnut-creek.org/Home/Components/Calendar/Event/14852/ | https://www.lesherartscenter.org/Home/Components/Calendar/Event/14852/3094 | https://www.theatermania.com/shows/san-francisco-theater/red-bike_412931 | https://www.broadwayworld.com/san-francisco/regional/Red-Bike-3435024,today
"Cheaper Than Therapy, Stand-up Comedy: Sat, Feb 18, 2023 Late Show",,"10:00  GMT-5,11:30 PM GMT-5",Cheaper Than Therapy,"533 Sutter St, San Francisco, CA",https://www.eventbrite.com/e/cheaper-than-therapy-stand-up-comedy-sat-feb-18-2023-late-show-tickets-491166972637,tomorrow
Alexander String Quartet with Robert Greenberg | Host · Lecturer,,"10:00  GMT-5,11:30 AM GMT-5",Herbst Theatre,"401 Van Ness Ave, San Francisco, CA",https://secure.sfperformances.org/3438/3443 | https://www.kron4.com/community/calendar/?_escaped_fragment_=/show/?start=2022-05-11#!/details/SF-Performances-Presents-Alexander-String-Quartet-Bob-Greenberg/11334818/2023-02-18T10 | https://www.sfcv.org/events/san-francisco-performances/sf-performances-presents-alexander-string-quartet-wrobert-6 | https://patch.com/california/san-francisco/calendar/event/20230218/2bbb38c2-4e2f-4e68-ae06-4ab5f3477ddd/sf-performances-presents-alexander-string-quartet-bob-greenberg | https://events.com/r/en_US/event/sf-performances-presents-alexander-string-quartet--bob-greenberg-sf-february-877145,tomorrow
Willy Wonka,,,Children's Theatre Association of San Francisco,"Presidio Theatre, 99 Moraga Ave, San Francisco, CA",https://www.presidiotheatre.org/show/willy-wonka/,tomorrow
Dear Evan Hansen,,"1:00  GMT-5,3:30 PM GMT-5",Orpheum Theatre,"1192 Market St, San Francisco, CA",https://www.vividseats.com/dear-evan-hansen-tickets-san-francisco-orpheum-theatre---san-francisco-2-18-2023--theater-arts-and-theater/production/3999196?utm_medium=organic&utm_source=google_eventsearch | http://www.orpheumtheatersanfrancisco.org/events/dear-evan-hansen-23/ | https://tixel.com/theatre-tickets/2023/02/18/dear-evan-hansen | https://www.ticketmaster.com/dear-evan-hansen-san-francisco-02-18-2023/event/Z7r9jZ1Ad4bAK | https://seatgeek.com/dear-evan-hansen-san-francisco-tickets/orpheum-theatre-san-francisco-2-2023-02-18-1-pm/broadway/5744151,tomorrow
Return of The Jaded,,"9:00  GMT-5,11:59 PM GMT-5",Public Works,"161 Erie St, San Francisco, CA",https://www.eventbrite.com/e/dirty-not-sorry-pres-return-of-the-jaded-tickets-510988489327 | https://allevents.in/san%20francisco/dirty-not-sorry-pres-return-of-the-jaded/10000510988489327 | https://missionlocal.org/event/public-works-dirty-not-sorry-pres-return-of-the-jaded/ | https://dothebay.com/events/2023/2/18/dirty-not-sorry-pres-return-of-the-jaded-tickets | http://events.noisepop.com/events/2023/2/18/dirty-not-sorry-pres-return-of-the-jaded-tickets,tomorrow
The Travelers,,,Magic Theatre,"Landmark Building D, Fort Mason Center, 2 Marina Blvd, San Francisco, CA",https://magictheatre.secure.force.com/ticket/#/events/a0S6e00000jLoGQEA0 | https://www.theatermania.com/shows/san-francisco-theater/the-travelers_420892 | https://datebook.sfchronicle.com/event/theater/magic-theatres-the-travelers/ | https://dothebay.com/events/2023/2/15/magic-theatre-season-2023-the-travelers-by-luis-alfaro-tickets | https://www.sfstation.com/magic-theatre-b843,tomorrow
Craig Robinson,,"9:30 PM GMT-5,1:30 AM GMT-5",Cobb's Comedy Club,"915 Columbus Ave, San Francisco, CA",https://www.tickpick.com/buy-craig-robinson-tickets-cobbs-comedy-club-2-18-23-6pm/5455818 | https://www.shareasale.com/m-pr.cfm?merchantID=76847&userID=479796&productID=1288306728 | https://www.ticketcity.com/san-francisco-tickets/cobbs-comedy-club-tickets/craig-robinson-feb-18-2023-4220720.html?aid=2658 | https://ticketmaster.evyy.net/c/253520/271177/4272?u=https%3A%2F%2Fconcerts.livenation.com%2Fcraig-robinson-san-francisco-california-02-18-2023%2Fevent%2F1C005D7CEFE35B4D | https://www.kron4.com/community/calendar/?_escaped_fragment_=/show/?start=2022-04-29#!/details/Craig-Robinson/11247436/2023-02-18T18,tomorrow
Californicorns Play One Last Big Sweaty PianoFight Dance Party,,"10:00  GMT-5,11:59 PM GMT-5",PianoFight,"144 Taylor St, San Francisco, CA",https://www.eventbrite.com/e/californicorns-final-sweaty-dance-party-at-pianofight-ft-polly-amber-ross-tickets-533955143207 | https://allevents.in/san%20francisco/californicorns-final-sweaty-dance-party-at-pianofight-ft-polly-amber-ross/10000533955143207 | https://dothebay.com/events/2023/2/18/californicorns-play-one-last-big-sweaty-pianofight-dance-party-tickets,tomorrow
Atlas Cafe: Titans of Comedy by Mutiny Radio!,,,Atlas Cafe,"3049 20th St, San Francisco, CA",https://www.eventbrite.com/e/titans-of-comedy-outdoor-atlas-tickets-494167096087 | https://missionlocal.org/event/atlas-cafe-titans-of-comedy-by-mutiny-radio-11/2023-02-18/ | https://allevents.in/mobile/amp-event.php?event_id=10000494167417047 | https://www.sfstation.com/atlas-cafe-b620,tomorrow
Post-Mortem & Staircase (mystery),,"9:00 PM GMT-5,1:45 AM GMT-5",Amado's,"998 Valencia St, San Francisco, CA",https://allevents.in/san%20francisco/post-mortem-and-staircase-mystery/10000539765552297 | https://dothebay.com/events/2023/2/18/post-mortem-staircase-mystery-tickets | https://www.eventbrite.com/e/staircase-mystery-w-djs-mizmargo-sage-tickets-500348896017,tomorrow
Silicon Valley Car Show ( Spider Section ),,,Santa Clara Convention Center,"5001 Great America Pkwy, Santa Clara, CA",https://allevents.in/mobile/amp-event.php?event_id=200024070025605,today
The Game's Afoot,,,Bay Area Stage Theatre,"515 Broadway H, Vallejo, CA",https://www.beniciamagazine.com/event/the-games-afoot/ | https://www.eventbrite.com/e/the-games-afoot-tickets-480298304157 | https://allevents.in/vallejo/the-games-afoot/200023724388821 | https://www.kron4.com/community/calendar/?_escaped_fragment_=/show/?ser=Apcera#!/details/The-Game-s-Afoot/11252072/2023-02-17T00 | https://www.visitvallejo.com/events/upcoming-events/the-games-afoot,today
"Play Therapy  Meets on  Monday,  February 13th and February 27th 2pm-5pm",,,Lincoln,"1266 14th St, Oakland, CA",https://www.eventbrite.com/e/play-therapy-meets-on-monday-february-13th-and-february-27th-2pm-5pm-tickets-493312700567 | https://allevents.in/oakland/play-therapy-meets-on-monday-february-13th-and-february-27th-9am-12pm/10000493312700567?ref=footer-up-ep-upcoming,today
Grand Horizons at San Jose Stage Company,,,San Jose Stage,"490 S 1st St, San Jose, CA",https://www.broadwayworld.com/san-francisco/regional/Grand-Horizons-San-Jose,today
Storytime Science for Kids: The Moon and Stars,,,Exploratorium,"Pier 15 Embarcadero at, Green St, San Francisco, CA",https://www.exploratorium.edu/visit/calendar/storytime-science-kids-february-2023,today
A Marriage: by Tom Swift,,,"1301 Shattuck Ave., Berkeley, CA",,https://www.purplecircuit.org/openings/a-marriage-by-tom-swift/,today
